MplusiD,age,gender,race,grade,aspiration,interest1,interest2,interest3,zip,median_income,percent_bachelors
2,13,0,4,7,6, , , ,30052,54867,19.1
3,17,0,1,12,6, , , ,95128,119035,51.7
4,17,1,7, , , , , ,16803,55895,45.5
5,14,1,7, , , , , ,76085,75823,26.4
9,13,0,7, , , , , ,21793,92495,42.2
10,17,0,3,12,6, , , ,71457, , 
13,16,0,3,2,5,5,5,5, , , 
13,16,0,3,11,5, , , ,48197,70286,54.5
14,15,1,3,8,5, , , ,30058,61827,42.7
15,13,1,7, , , , , ,78736,72884,49.5
16,16,0,3,10,5, , , ,30337,65037,51.2
17,16,0,3,3,5,5,4,4, , , 
17,16,0,3,10,5, , , ,76541,52479,26.9
19,17,0,4,1,5,4,4,4, , , 
19,17,0,4,12,5, , , ,95123,119035,51.7
20,16,1,6, , , , , ,27603,77318,52.2
21,15,1,7, , , , , ,1570,70402,36.5
25,16,0,7, , , , , ,38551, , 
26,13,1,7, , , , , ,86409,42311,13.5
29,17,1,3,10,2, , , ,44120,46784,32.6
30,15,0,1,3,5,3,3,3, , , 
30,15,0,1,10,5, , , ,95138,119035,51.7
31,16,1,1,10, , , , ,95682,79414,34.2
33,17,0,3,11,5, , , ,27260,52098,35.7
35,15,1,1,10,5, , , ,96813,81284,34.7
36,13,1,4,5,5, , , ,90015,65006,32.3
37,17,0,7, , , , , ,46373,54981,22.6
38,16,0,1,3,5,4,4,4, , , 
38,16,0,1,10,5, , , ,78613,81719,40.9
39,14,1,3,6,2, , , ,30215,84742,46.2
41,14,0,4,2,5,2,1,2, , , 
41,14,0,4,11,5, , , ,49686,60601,40.9
43,17,1,1,11,6, , , ,80134,111482,58.5
44,16,0,7, , , , , ,24175, , 
45,16,1,7,10,5, , , ,72501, , 
48,14,0,7, , , , , ,85205,62223,32.3
52,14,0,7, , , , , ,42134, , 
54,14,1,7, , , , , ,20001,82372,57.3
55,13,1,7, , , , , ,11233,56942,37.1
56,16,0,1,12, , , , ,77845,45155,40.9
58,13,0,3, , , , , ,29662,55914,34.5
61,15,1,4,11,2, , , ,7104,60430,35.6
62,17,1,7, , , , , ,55305,74592,50.2
63,16,1,1,3,5,3,3,3, , , 
63,16,1,1,10,5, , , ,8078,66196,32.7
